filename,response,responseTime,target,tp,fp,tn,fn,epoch_number,IS_GOOD,SUB_ID,LABEL,IS_TEST
removing_flickr-7-0-5-9033114705_4.mp4,0.0,0.856188,1,0,0,0,1,1,True,31,2,True
dancing_flickr-5-3-9-8043738539_72.mp4,0.0,1.117834,1,0,0,0,1,2,True,31,2,False
talking_6-4-1-6568942641.mp4,0.0,0.814792,1,0,0,0,1,3,True,31,2,False
smiling_flickr-8-9-2-3-4-8-3-2-3189234832_2.mp4,0.0,0.875636,1,0,0,0,1,4,True,31,2,False
pedaling_1-7-6-1-8-7-9-0-3517618790.mp4,-1.0,0.0,1,0,0,0,1,5,True,31,2,False
talking_5-9-2-0-0-4-2-6-11359200426.mp4,0.0,1.721754,1,0,0,0,1,6,True,31,2,False
competing_1-8-5-0-9-9-6-7-2918509967.mp4,0.0,1.090334,1,0,0,0,1,8,True,31,2,False
working_3-7-4-1-4-8-1-0-4537414810.mp4,0.0,2.474875,1,0,0,0,1,9,True,31,2,False
swimming_9-9-3-8-0-4-4-8-3699380448.mp4,0.0,1.026419,1,0,0,0,1,11,True,31,2,True
towing_flickr-0-6-7-0-5-9-4-3-25506705943_26.mp4,0.0,1.79397,1,0,0,0,1,13,True,31,2,False
boating_1-9-2-2-9-4-1-1-6619229411.mp4,0.0,1.08096,1,0,0,0,1,14,True,31,2,False
talking_6-9-2-4-5-4-1-2-16169245412.mp4,0.0,1.375791,1,0,0,0,1,15,True,31,2,False
talking_flickr-0-6-3-5-1-4-1-5-2406351415_2.mp4,0.0,1.39916,1,0,0,0,1,16,True,31,2,True
singing_5-6-7-9-4-9-2-6-8556794926.mp4,0.0,0.388522,1,0,0,0,1,17,True,31,2,False
fishing_flickr-7-0-0-6-7-7-6-4-13470067764_4.mp4,0.0,1.0332,1,0,0,0,1,18,True,31,2,False
skiing_flickr-5-1-7-3-0-9-8-1-25951730981_2.mp4,1.0,0.927955,1,1,0,0,0,19,True,31,1,False
gambling_flickr-9-4-1-5173859941_3.mp4,0.0,1.20228,1,0,0,0,1,20,True,31,2,False
smiling_flickr-5-9-6-6-1-8-1-1-5859661811_3.mp4,1.0,1.560234,1,1,0,0,0,21,True,31,1,False
singing_flickr-7-0-5-6-8-9-6-7-3770568967_46.mp4,0.0,2.628671,1,0,0,0,1,22,True,31,2,False
hitting_7-4-3-9701238743.mp4,0.0,1.853986,1,0,0,0,1,24,True,31,2,False
playing_flickr-5-8-5-0-2-6-4-3-4658502643_5.mp4,0.0,0.843318,1,0,0,0,1,25,True,31,2,False
skiing_flickr-6-7-1-6-5-8-8-1-5967165881_6.mp4,0.0,1.694115,1,0,0,0,1,27,True,31,2,True
painting_flickr-5-9-7-9-5-1-7-9-5159795179_2.mp4,0.0,1.155295,1,0,0,0,1,28,True,31,2,False
talking_2-9-8-5898744298.mp4,0.0,0.786867,1,0,0,0,1,29,True,31,2,False
standing_flickr-9-8-7-7-7-8-4-6-8998777846_4.mp4,0.0,0.910405,1,0,0,0,1,30,True,31,2,False
swinging_flickr-1-4-8-6-5-5-1-5-10614865515_6.mp4,0.0,1.10413,1,0,0,0,1,31,True,31,2,False
chasing_flickr-5-3-8-2-1-5-9-9-6753821599_79.mp4,0.0,1.422177,1,0,0,0,1,32,True,31,2,False
swimming_STQk1ZJCztM_81.mp4,0.0,1.416565,1,0,0,0,1,34,True,31,2,True
sitting_flickr-8-9-2-7206542892_28.mp4,0.0,1.075762,1,0,0,0,1,35,True,31,2,False
feeding_flickr-2-7-9-2-9-1-9-0-26127929190_3.mp4,1.0,1.89047,1,1,0,0,0,36,True,31,1,False
climbing_flickr-8-2-6-7-6-5-3-7-3282676537_61.mp4,0.0,1.131767,1,0,0,0,1,37,True,31,2,False
leaning_flickr-2-0-9-3-5-5-5-5-12520935555_22.mp4,0.0,1.111054,1,0,0,0,1,38,True,31,2,False
unloading_0hfc8SI42vo_50.mp4,0.0,1.136867,1,0,0,0,1,39,True,31,2,False
packing_flickr-3-7-9-9-4-2-4-5-13937994245_3.mp4,0.0,2.610766,1,0,0,0,1,41,True,31,2,False
performing_5-3-3-5-6-0-6-6-7653356066.mp4,1.0,0.965806,1,1,0,0,0,43,True,31,1,False
standing_9-0-8-1-4-0-0-1-18790814001.mp4,0.0,0.785504,1,0,0,0,1,44,True,31,2,False
feed_flickr-9-7-8-6-5-9-4-1-4797865941_33.mp4,0.0,0.669319,1,0,0,0,1,46,True,31,2,False
